# {'li': -1, 'lf': -1, 'xc': 0.0, 'yc': 0.0}
# omega	gamma
5.166666666666667000e+15 4.071187942473541987e+00
5.183333333333333000e+15 3.877598480519892199e+00
5.200000000000000000e+15 3.697181924795446939e+00
5.216666666666667000e+15 3.528781723162106587e+00
5.233333333333334000e+15 3.371364459546083658e+00
5.250000000000000000e+15 3.224004577979224351e+00
5.266666666666667000e+15 3.085871254591547430e+00
5.283333333333333000e+15 2.956217082112260197e+00
5.300000000000000000e+15 2.834368288719217865e+00
5.316666666666667000e+15 2.719716259795312840e+00
5.333333333333334000e+15 2.611710169386781910e+00
5.350000000000000000e+15 2.509850559560755201e+00
5.366666666666667000e+15 2.413683731736068871e+00
5.383333333333333000e+15 2.322796835454359332e+00
5.400000000000000000e+15 2.236813557800596097e+00
5.416666666666667000e+15 2.155390331443617136e+00
5.433333333333333000e+15 2.078212991583858305e+00
5.450000000000000000e+15 2.004993822404407045e+00
5.466666666666666000e+15 1.935468942273300685e+00
5.483333333333333000e+15 1.869395984226829288e+00
5.500000000000000000e+15 1.806552034409209195e+00
